date,city,price
1989-01-01,CA-Los Angeles,87.3
1989-01-01,CA-San Diego,70.96
1989-01-01,CA-San Francisco,62.66
1989-01-01,CO-Denver,47.23
1989-01-01,DC-Washington,86.5
1989-01-01,FL-Miami,76.59
1989-01-01,FL-Tampa,80.41
1989-01-01,GA-Atlanta,
1989-01-01,IL-Chicago,67.46
1989-01-01,MA-Boston,74.23
1989-01-01,MI-Detroit,
1989-01-01,MN-Minneapolis,63.13
1989-01-01,NC-Charlotte,69.76
1989-01-01,NV-Las Vegas,68.73
1989-01-01,NY-New York,84.32
1989-01-01,OH-Cleveland,61.41
1989-01-01,OR-Portland,44.26
1989-01-01,TX-Dallas,
1989-01-01,WA-Seattle,
1989-01-01,Composite-10,77.99
1989-01-01,Composite-20,
1989-01-01,National-US,73.62
1989-02-01,AZ-Phoenix,67.43
1989-02-01,CA-Los Angeles,88.28
1989-02-01,CA-San Diego,72.27
1989-02-01,CA-San Francisco,63.32
1989-02-01,CO-Denver,47.21
1989-02-01,DC-Washington,87.34
1989-02-01,FL-Miami,76.82
1989-02-01,FL-Tampa,80.73
1989-02-01,GA-Atlanta,
1989-02-01,IL-Chicago,68.32
1989-02-01,MA-Boston,74.59
1989-02-01,MI-Detroit,
1989-02-01,MN-Minneapolis,62.81
1989-02-01,NC-Charlotte,70.23
1989-02-01,NV-Las Vegas,69.11
1989-02-01,NY-New York,83.77
1989-02-01,OH-Cleveland,61.25
1989-02-01,OR-Portland,44.57
1989-02-01,TX-Dallas,
1989-02-01,WA-Seattle,
1989-02-01,Composite-10,78.36
1989-02-01,Composite-20,
1989-02-01,National-US,73.97
1989-03-01,AZ-Phoenix,67.71
1989-03-01,CA-Los Angeles,90.34
1989-03-01,CA-San Diego,73.92
1989-03-01,CA-San Francisco,64.64
1989-03-01,CO-Denver,47.33
1989-03-01,DC-Washington,88.14
1989-03-01,FL-Miami,77.0
1989-03-01,FL-Tampa,81.57
1989-03-01,GA-Atlanta,
1989-03-01,IL-Chicago,69.93
1989-03-01,MA-Boston,74.48
1989-03-01,MI-Detroit,
1989-03-01,MN-Minneapolis,62.43
1989-03-01,NC-Charlotte,70.52
1989-03-01,NV-Las Vegas,69.97
1989-03-01,NY-New York,83.27
1989-03-01,OH-Cleveland,61.37
1989-03-01,OR-Portland,44.56
1989-03-01,TX-Dallas,
1989-03-01,WA-Seattle,
1989-03-01,Composite-10,79.12
1989-03-01,Composite-20,
1989-03-01,National-US,74.41
1989-04-01,AZ-Phoenix,67.65
1989-04-01,CA-Los Angeles,92.11
1989-04-01,CA-San Diego,75.45
1989-04-01,CA-San Francisco,66.27
1989-04-01,CO-Denver,47.33
1989-04-01,DC-Washington,88.99
1989-04-01,FL-Miami,77.32
1989-04-01,FL-Tampa,81.8
1989-04-01,GA-Atlanta,
1989-04-01,IL-Chicago,70.68
1989-04-01,MA-Boston,74.63
1989-04-01,MI-Detroit,
1989-04-01,MN-Minneapolis,63.03
1989-04-01,NC-Charlotte,70.67
1989-04-01,NV-Las Vegas,69.61
1989-04-01,NY-New York,82.94
1989-04-01,OH-Cleveland,61.57
1989-04-01,OR-Portland,45.0
1989-04-01,TX-Dallas,
1989-04-01,WA-Seattle,
1989-04-01,Composite-10,79.83
1989-04-01,Composite-20,
1989-04-01,National-US,74.87
1989-05-01,AZ-Phoenix,67.9
1989-05-01,CA-Los Angeles,93.98
1989-05-01,CA-San Diego,76.83
1989-05-01,CA-San Francisco,67.77
1989-05-01,CO-Denver,47.49
1989-05-01,DC-Washington,89.62
1989-05-01,FL-Miami,77.19
1989-05-01,FL-Tampa,82.34
1989-05-01,GA-Atlanta,
1989-05-01,IL-Chicago,70.48
1989-05-01,MA-Boston,74.73
1989-05-01,MI-Detroit,
1989-05-01,MN-Minneapolis,63.31
1989-05-01,NC-Charlotte,71.13
1989-05-01,NV-Las Vegas,69.64
1989-05-01,NY-New York,82.97
1989-05-01,OH-Cleveland,62.63
1989-05-01,OR-Portland,45.44
1989-05-01,TX-Dallas,
1989-05-01,WA-Seattle,
1989-05-01,Composite-10,80.52
1989-05-01,Composite-20,
1989-05-01,National-US,75.3
1989-06-01,AZ-Phoenix,67.66
1989-06-01,CA-Los Angeles,95.55
1989-06-01,CA-San Diego,78.31
1989-06-01,CA-San Francisco,69.26
1989-06-01,CO-Denver,47.73
1989-06-01,DC-Washington,90.48
1989-06-01,FL-Miami,77.68
1989-06-01,FL-Tampa,82.06
1989-06-01,GA-Atlanta,
1989-06-01,IL-Chicago,70.91
1989-06-01,MA-Boston,74.63
1989-06-01,MI-Detroit,
1989-06-01,MN-Minneapolis,63.89
1989-06-01,NC-Charlotte,71.52
1989-06-01,NV-Las Vegas,71.19
1989-06-01,NY-New York,82.95
1989-06-01,OH-Cleveland,63.13
1989-06-01,OR-Portland,46.1
1989-06-01,TX-Dallas,
1989-06-01,WA-Seattle,
1989-06-01,Composite-10,81.24
1989-06-01,Composite-20,
1989-06-01,National-US,75.7
1989-07-01,AZ-Phoenix,67.56
1989-07-01,CA-Los Angeles,96.71
1989-07-01,CA-San Diego,79.36
1989-07-01,CA-San Francisco,70.27
1989-07-01,CO-Denver,47.64
1989-07-01,DC-Washington,91.26
1989-07-01,FL-Miami,78.05
1989-07-01,FL-Tampa,82.13
1989-07-01,GA-Atlanta,
1989-07-01,IL-Chicago,70.89
1989-07-01,MA-Boston,74.68
1989-07-01,MI-Detroit,
1989-07-01,MN-Minneapolis,63.85
1989-07-01,NC-Charlotte,71.79
1989-07-01,NV-Las Vegas,71.56
1989-07-01,NY-New York,82.67
1989-07-01,OH-Cleveland,63.78
1989-07-01,OR-Portland,46.5
1989-07-01,TX-Dallas,
1989-07-01,WA-Seattle,
1989-07-01,Composite-10,81.66
1989-07-01,Composite-20,
1989-07-01,National-US,76.05
1989-08-01,AZ-Phoenix,67.28
1989-08-01,CA-Los Angeles,97.51
1989-08-01,CA-San Diego,80.56
1989-08-01,CA-San Francisco,71.36
1989-08-01,CO-Denver,47.78
1989-08-01,DC-Washington,91.84
1989-08-01,FL-Miami,78.56
1989-08-01,FL-Tampa,81.5
1989-08-01,GA-Atlanta,
1989-08-01,IL-Chicago,71.31
1989-08-01,MA-Boston,74.07
1989-08-01,MI-Detroit,
1989-08-01,MN-Minneapolis,64.07
1989-08-01,NC-Charlotte,71.92
1989-08-01,NV-Las Vegas,72.65
1989-08-01,NY-New York,82.63
1989-08-01,OH-Cleveland,64.59
1989-08-01,OR-Portland,46.97
1989-08-01,TX-Dallas,
1989-08-01,WA-Seattle,
1989-08-01,Composite-10,82.08
1989-08-01,Composite-20,
1989-08-01,National-US,76.28
1989-09-01,AZ-Phoenix,67.14
1989-09-01,CA-Los Angeles,97.99
1989-09-01,CA-San Diego,81.58
1989-09-01,CA-San Francisco,72.31
1989-09-01,CO-Denver,47.8
1989-09-01,DC-Washington,92.35
1989-09-01,FL-Miami,78.58
1989-09-01,FL-Tampa,81.77
1989-09-01,GA-Atlanta,
1989-09-01,IL-Chicago,70.88
1989-09-01,MA-Boston,73.71
1989-09-01,MI-Detroit,
1989-09-01,MN-Minneapolis,64.0
1989-09-01,NC-Charlotte,71.9
1989-09-01,NV-Las Vegas,73.41
1989-09-01,NY-New York,82.38
1989-09-01,OH-Cleveland,65.04
1989-09-01,OR-Portland,47.26
1989-09-01,TX-Dallas,
1989-09-01,WA-Seattle,
1989-09-01,Composite-10,82.25
1989-09-01,Composite-20,
1989-09-01,National-US,76.43
1989-10-01,AZ-Phoenix,66.68
1989-10-01,CA-Los Angeles,98.55
1989-10-01,CA-San Diego,82.44
1989-10-01,CA-San Francisco,72.95
1989-10-01,CO-Denver,48.12
1989-10-01,DC-Washington,92.45
1989-10-01,FL-Miami,78.62
1989-10-01,FL-Tampa,82.0
1989-10-01,GA-Atlanta,
1989-10-01,IL-Chicago,70.36
1989-10-01,MA-Boston,73.38
1989-10-01,MI-Detroit,
1989-10-01,MN-Minneapolis,64.21
1989-10-01,NC-Charlotte,72.05
